Title,Employer Name,Location,Skills list,Experience Min,Experience Max,Experience Band,Salary Disclosed,Salary Min,Salary Max,Salary Band,Job Role,Posted Days Ago
Management Accountant,Garima Interprises,Kolkata,"['budget billing', 'forensic', 'senior', 'finance', 'corporate', 'administrator', 'clerk', 'invoice', 'auditor', 'financial', 'accountant', 'internal', 'controller', 'associate', 'assistant', 'analyst', 'specialist', 'admin', 'manager']",3.0,8.0,Mid Level,True,2.0,9.0,High,Other,0
Mis Executive,Garima Interprises,Kolkata,"['business support', 'database', 'intelligence', 'mis', 'office', 'problem', 'service', 'technical', 'desk', 'management', 'analysis', 'data', 'thinking', 'analyst', 'clerk', 'reasoning', 'solving', 'analytic', 'critical', 'engineer', 'executives']",5.0,10.0,Senior Level,True,2.0,12.0,High,Executive,0
UI/UX Design Intern,Beryl Agency,Gautam Buddha Nagar,"['Graphic design Design methodologies', 'Adobe Suite', 'HTML', 'CSS', 'JavaScript', 'Communication skills', 'UIUX design', 'Usability principles', 'Figma']",0.0,4.0,Entry Level,True,,,Not Disclosed,Intern,1
Web Developer/ Illustrator and Animator/ Marketing Intern,Kaizan Works,All India,"['Web Development SEO', 'HTML', 'CSS', 'JavaScript', 'Python', 'Adobe Photoshop', 'Google Analytics', 'Social Media Marketing', 'Copywriting', 'Framer', 'Market Research', 'Branding', 'Content Strategy', 'Storytelling', 'Graphic Design', 'Illustration', 'Animation', 'Adobe InDesign', 'After Effects', 'Keynote', 'SEM Rush', 'Canva', 'Figma', 'AI Design Tools']",0.0,3.0,Entry Level,True,,,Not Disclosed,Developer,1
Business Development Executive Intern,Visible Gain,Noida,"['Market Research Strategic Planning', 'Client Relationship Management', 'Networking', 'Sales', 'Marketing', 'Presentations', 'Proposals', 'Negotiation', 'Business Development', 'Communication Skills', 'Analytical Skills', 'Teamwork', 'ProblemSolving']",0.0,3.0,Entry Level,True,,,Not Disclosed,Executive,0
Title Not specified,Dolphin Placements,Delhi,"['Leadership Data analysis', 'Logistics', 'Inventory management', 'MMS', 'Microsoft Excel', 'Social skills', 'Verbal', 'written communication', 'Brain Powder', 'Any Inventory Software', 'GRN  Stock Transfer Note', 'Inventory Management LIFO', 'FIFO  ABC Analysis', 'Par Stock Level', 'Critical Stock Level']",5.0,10.0,Senior Level,True,,,Not Disclosed,Other,1
Lecturer / Senior Lecturer in Computer Science,UNSW,Karnataka,"['Computer Science Cyber Security', 'Systems Engineering', 'Artificial Intelligence', 'Research', 'Teaching', 'Supervision', 'Communication', 'Interpersonal Skills', 'Networking', 'Optimisation', 'Learning Design', 'Student Equity', 'Inclusion', 'Organisational Skills']",0.0,4.0,Entry Level,True,,,Not Disclosed,Other,1
Remote Rust Developer,Turing,All India,"['Rust debugging', 'testing', 'profiling', 'refactoring', 'communication', 'problemsolving']",2.0,6.0,Mid Level,True,,,Not Disclosed,Developer,0
Graphic Designer,Sensys Technologies Pvt. Ltd,All India,"['Graphic Design Layout Design', 'Illustration', 'Typography', 'Color Schemes', 'Imagery', 'Adobe Creative Suite', 'Visual Communication', 'Project Management', 'Client Communication', 'Brand Guidelines', 'Deadline Management']",2.0,6.0,Mid Level,True,,,Not Disclosed,Designer,0
Process Associate,Styflowne finanace services,Karnataka,['Excellent English'],0.0,4.0,Entry Level,True,,,Not Disclosed,Other,1
