Title,Employer Name,Experience,Salary,Location,Skills Required,Posted Date
Management Accountant,Garima Interprises,3 to 8 Yrs,2.0  - 9 LPA,Kolkata,"['budget billing', ' forensic', ' senior', ' finance', ' corporate', 'administrator', ' clerk', ' invoice', ' auditor', ' financial', ' accountant', ' internal', ' controller', ' associate', ' assistant', ' analyst', ' specialist', ' admin', ' manager']",posted 0 days ago
Mis Executive,Garima Interprises,5 to 10 Yrs,2.0  - 12 LPA,Kolkata,"['business support', ' database', ' intelligence', ' mis', ' office', ' problem', ' service', ' technical', ' desk', ' management', ' analysis', ' data', 'thinking', ' analyst', ' clerk', ' reasoning', ' solving', ' analytic', ' critical', ' engineer', ' executives']",posted 0 days ago
UI/UX Design Intern,Beryl Agency,0 to 4 Yrs,,Gautam Buddha Nagar,"['Graphic design Design methodologies', ' Adobe Suite', ' HTML', ' CSS', ' JavaScript', ' Communication skills', 'UIUX design', ' Usability principles', ' Figma']",posted 1 day ago
Web Developer/ Illustrator and Animator/ Marketing Intern,Kaizan Works,0 to 3 Yrs,,All India,"['Web Development SEO', ' HTML', ' CSS', ' JavaScript', ' Python', ' Adobe Photoshop', ' Google Analytics', ' Social Media Marketing', ' Copywriting', ' Framer', ' Market Research', ' Branding', ' Content Strategy', ' Storytelling', ' Graphic Design', ' Illustration', ' Animation', ' Adobe InDesign', ' After Effects', ' Keynote', 'SEM Rush', ' Canva', ' Figma', ' AI Design Tools']",posted 1 day ago
Business Development Executive Intern,Visible Gain,0 to 3 Yrs,,Noida,"['Market Research Strategic Planning', ' Client Relationship Management', ' Networking', ' Sales', ' Marketing', ' Presentations', ' Proposals', ' Negotiation', ' Business Development', ' Communication Skills', ' Analytical Skills', ' Teamwork', 'ProblemSolving']",posted 0 days ago
Title Not specified,Dolphin Placements,5 to 10 Yrs,,Delhi,"['Leadership Data analysis', ' Logistics', ' Inventory management', ' MMS', ' Microsoft Excel', 'Social skills', ' Verbal ', ' written communication', ' Brain Powder', ' Any Inventory Software', ' GRN  Stock Transfer Note', ' Inventory Management LIFO', '  FIFO  ABC Analysis', '  Par Stock Level', '  Critical Stock Level']",posted 1 day ago
Lecturer / Senior Lecturer in Computer Science,UNSW,0 to 4 Yrs,,Karnataka,"['Computer Science Cyber Security', ' Systems Engineering', ' Artificial Intelligence', ' Research', ' Teaching', ' Supervision', ' Communication', ' Interpersonal Skills', ' Networking', 'Optimisation', ' Learning Design', ' Student Equity', ' Inclusion', ' Organisational Skills']",posted 1 day ago
Remote Rust Developer,Turing,2 to 6 Yrs,,All India,"['Rust debugging', ' testing', ' profiling', ' refactoring', ' communication', 'problemsolving']",posted 0 days ago
Graphic Designer,Sensys Technologies Pvt. Ltd,2 to 6 Yrs,,All India,"['Graphic Design Layout Design', ' Illustration', ' Typography', ' Color Schemes', ' Imagery', ' Adobe Creative Suite', ' Visual Communication', ' Project Management', ' Client Communication', 'Brand Guidelines', ' Deadline Management']",posted 0 days ago
Process Associate,Styflowne finanace services,0 to 4 Yrs,,Karnataka,['Excellent English'],posted 1 day ago
