Title,Employer Name,Experience,Salary,Location,Posted Value,Posted Unit,Skills list
Management Accountant,Garima Interprises,3 to 8 Yrs,2.0  - 9 LPA,Kolkata,0,days,"['budget billing', 'forensic', 'senior', 'finance', 'corporate', 'administrator', 'clerk', 'invoice', 'auditor', 'financial', 'accountant', 'internal', 'controller', 'associate', 'assistant', 'analyst', 'specialist', 'admin', 'manager']"
Mis Executive,Garima Interprises,5 to 10 Yrs,2.0  - 12 LPA,Kolkata,0,days,"['business support', 'database', 'intelligence', 'mis', 'office', 'problem', 'service', 'technical', 'desk', 'management', 'analysis', 'data', 'thinking', 'analyst', 'clerk', 'reasoning', 'solving', 'analytic', 'critical', 'engineer', 'executives']"
UI/UX Design Intern,Beryl Agency,0 to 4 Yrs,,Gautam Buddha Nagar,1,day,"['Graphic design Design methodologies', 'Adobe Suite', 'HTML', 'CSS', 'JavaScript', 'Communication skills', 'UIUX design', 'Usability principles', 'Figma']"
Web Developer/ Illustrator and Animator/ Marketing Intern,Kaizan Works,0 to 3 Yrs,,All India,1,day,"['Web Development SEO', 'HTML', 'CSS', 'JavaScript', 'Python', 'Adobe Photoshop', 'Google Analytics', 'Social Media Marketing', 'Copywriting', 'Framer', 'Market Research', 'Branding', 'Content Strategy', 'Storytelling', 'Graphic Design', 'Illustration', 'Animation', 'Adobe InDesign', 'After Effects', 'Keynote', 'SEM Rush', 'Canva', 'Figma', 'AI Design Tools']"
Business Development Executive Intern,Visible Gain,0 to 3 Yrs,,Noida,0,days,"['Market Research Strategic Planning', 'Client Relationship Management', 'Networking', 'Sales', 'Marketing', 'Presentations', 'Proposals', 'Negotiation', 'Business Development', 'Communication Skills', 'Analytical Skills', 'Teamwork', 'ProblemSolving']"
Title Not specified,Dolphin Placements,5 to 10 Yrs,,Delhi,1,day,"['Leadership Data analysis', 'Logistics', 'Inventory management', 'MMS', 'Microsoft Excel', 'Social skills', 'Verbal', 'written communication', 'Brain Powder', 'Any Inventory Software', 'GRN  Stock Transfer Note', 'Inventory Management LIFO', 'FIFO  ABC Analysis', 'Par Stock Level', 'Critical Stock Level']"
Lecturer / Senior Lecturer in Computer Science,UNSW,0 to 4 Yrs,,Karnataka,1,day,"['Computer Science Cyber Security', 'Systems Engineering', 'Artificial Intelligence', 'Research', 'Teaching', 'Supervision', 'Communication', 'Interpersonal Skills', 'Networking', 'Optimisation', 'Learning Design', 'Student Equity', 'Inclusion', 'Organisational Skills']"
Remote Rust Developer,Turing,2 to 6 Yrs,,All India,0,days,"['Rust debugging', 'testing', 'profiling', 'refactoring', 'communication', 'problemsolving']"
Graphic Designer,Sensys Technologies Pvt. Ltd,2 to 6 Yrs,,All India,0,days,"['Graphic Design Layout Design', 'Illustration', 'Typography', 'Color Schemes', 'Imagery', 'Adobe Creative Suite', 'Visual Communication', 'Project Management', 'Client Communication', 'Brand Guidelines', 'Deadline Management']"
Process Associate,Styflowne finanace services,0 to 4 Yrs,,Karnataka,1,day,['Excellent English']
